,Var1,Var2,value
678,STnc4160,Pectobacterium,NA
679,STnc340,Pectobacterium,NA
680,STnc980,Pectobacterium,NA
681,STnc3610,Pectobacterium,NA
682,STnc3350,Pectobacterium,NA
683,sRNA9,Pectobacterium,NA
684,STnc3640,Pectobacterium,NA
685,RseX,Pectobacterium,NA
686,STnc3970,Pectobacterium,NA
687,STnc1010,Pectobacterium,NA
688,STnc3480,Pectobacterium,NA
689,STnc150,Pectobacterium,NA
690,STnc3830,Pectobacterium,NA
691,STnc740,Pectobacterium,NA
692,STnc1510,Pectobacterium,NA
693,STnc540,Pectobacterium,NA
694,STnc1500,Pectobacterium,NA
695,STnc1650,Pectobacterium,NA
696,STnc2110,Pectobacterium,NA
697,STnc3010,Pectobacterium,NA
698,RyjB,Pectobacterium,NA
699,STnc3040,Pectobacterium,NA
700,STnc810,Pectobacterium,NA
701,IsrK,Pectobacterium,73.3333333333333
702,RybD,Pectobacterium,NA
703,STnc1210,Pectobacterium,NA
704,STnc1470,Pectobacterium,75
705,STnc3150,Pectobacterium,NA
706,STnc3340,Pectobacterium,NA
707,STnc3720,Pectobacterium,NA
708,STnc1200,Pectobacterium,76
709,STnc480,Pectobacterium,NA
710,STnc1160,Pectobacterium,71
711,STnc350,Pectobacterium,NA
712,STnc4000,Pectobacterium,NA
713,STnc3250,Pectobacterium,NA
714,STnc3570,Pectobacterium,66
715,STnc4170,Pectobacterium,71.25
716,STnc3730,Pectobacterium,NA
717,RydC,Pectobacterium,NA
718,STnc1030,Pectobacterium,86.8571428571429
719,STnc1060,Pectobacterium,NA
720,STnc490,Pectobacterium,91
721,STnc1180,Pectobacterium,NA
722,RygD,Pectobacterium,NA
723,RygC,Pectobacterium,NA
724,STnc710,Pectobacterium,NA
725,SraB,Pectobacterium,NA
726,STnc520,Pectobacterium,NA
727,STnc1110,Pectobacterium,NA
728,STnc3390,Pectobacterium,NA
729,STnc630,Pectobacterium,NA
730,IsrN,Pectobacterium,68
731,RyeC,Pectobacterium,NA
732,RydB,Pectobacterium,NA
733,STnc2040,Pectobacterium,NA
734,STnc840,Pectobacterium,NA
735,DapZ,Pectobacterium,NA
736,STnc2070,Pectobacterium,NA
737,sRNA12,Pectobacterium,NA
738,STnc1420,Pectobacterium,NA
739,STnc1460,Pectobacterium,56.1666666666667
740,STnc3160,Pectobacterium,NA
741,sRNA10,Pectobacterium,NA
742,MgrR,Pectobacterium,NA
743,RyfA,Pectobacterium,NA
744,STnc920,Pectobacterium,NA
